Date,TataMotors,BajajFinance,Dr.Reddy,TCS,TorrentPower,IndiaCements,ICICI,MRF,BhartiAirtel,GodrejIndustries
2014,0.175265853,0.127257769,0.049560278,-0.022363888,-0.042499979,0.090953093,0.058147794,0.029727218,-0.008313195,-0.038450047
2014,-0.043614894,0.101116801,0.095559621,0.084940627,0.015292823,-0.001773809,-0.0791688,0.359994103,0.095727408,-0.046187235
2014,0.067111372,0.032043512,-0.018980693,-0.047047429,0.209772129,-0.00888494,0.134700607,-0.041805916,-0.015547854,-0.019662015
2014,-0.004385578,0.100890124,0.138228685,0.013478498,-0.044640093,-0.135365357,0.078535614,0.071148094,-0.04161444,-0.051218309
2014,-0.071133973,0.126817249,-0.099840568,-0.032065834,0.008900152,-0.114048733,0.006326969,0.130422454,-0.077426077,0.026904274
2014,0.180809244,0.162631512,-0.003989265,-0.029785968,0.082230644,0.258045685,0.021523639,0.055865734,0.05954066,0.058178285
2014,-0.017089708,0.013961062,0.013856042,0.072641585,-0.001164466,-0.066046493,-0.070557215,0.029069474,-0.049504942,0.065808566
2014,-0.04337991,0.000328723,0.064276002,-0.040715962,-0.046633634,-0.141932268,-0.058911306,-0.059467402,0.107263539,0.044233072
2014,-0.066336847,-0.01561418,-0.051164457,-0.035337419,0.009477242,0.054555959,0.049603778,-0.05384426,-0.031019593,0.044238796
2014,-0.05233646,0.042590822,0.067970697,0.059504038,-0.016353797,0.009906461,-0.041974902,-0.021542779,0.116767191,0.049563877
2014,-0.098619331,0.290960687,0.006845329,-0.022736887,-0.137931003,0.027247956,-0.029156807,-0.045811324,-0.013040404,-0.06160131
2014,-0.115858548,0.01247378,0.145148872,-0.015758816,0.044285693,-0.017506653,-0.018181829,0.193053872,-0.00297579,0.098256904
2015,-0.113846584,-0.088926405,0.055580039,0.021228736,0.057113585,-0.216522629,-0.081018493,-0.010946596,-0.154011455,-0.054652518
2015,-0.122151959,0.021917082,-0.032607767,0.009360192,0.15270133,0.076498894,-0.027168092,0.038219013,-0.04642958,-0.057405856
2015,0.289182868,0.017753929,0.02824121,-0.035876468,0.090653997,0.004481421,0.02459775,-0.052092556,0.033150813,0.124676798
2015,0.100142841,0.061016577,-0.273347491,-0.048753569,-0.050180133,0.133843217,-0.012454828,-0.022675893,-0.042114312,-0.022605379
2015,-0.076033086,0.084632776,-0.000450129,0.026668934,-0.059604442,0.088813955,-0.044598804,0.026447876,0.018094758,-0.009016025
2015,-0.139023756,-0.013569111,-0.001029465,-0.018692184,0.348314583,-0.030975736,-0.119380189,-0.106607736,-0.148354892,-0.074630847
2015,-0.11041847,0.000615664,-0.022267632,-0.089700161,-0.026709402,-0.291955265,-0.174234195,-0.08643063,0.088306333,-0.168424072
2015,0.289956592,0.167243968,-0.000345837,0.157800438,0.018221708,0.297968456,0.24519871,0.176658071,0.111885954,0.216586753
2015,0.056259699,-0.013727324,0.017626516,0.006031009,0.012289806,0.034782609,0.001267661,-0.11773845,0.036487939,-0.017183115
2015,0.125627494,0.111244578,0.030563068,0.013370105,-0.214057508,0.055462151,0.032496308,-0.000393657,-0.033553285,-0.013040952
2015,-0.000870214,0.053750234,0.06239196,-0.006343817,-0.049593463,0.200106227,-0.016758596,-0.020631003,0.043824626,0.152896742
2015,0.095699536,0.297116357,-0.131989786,0.025929242,-0.03307672,0.099955725,0.092912047,0.023172748,-0.01294978,0.084382872
2016,0.068561207,0.061551261,0.052634267,-0.04123239,0.111471505,0.204664298,-0.018638259,0.1060051,-0.083966319,-0.02218348
2016,-0.00530042,-0.041058533,0.005679824,-0.03205511,-0.043247515,-0.03871831,-0.022674462,0.359073027,-0.053218731,0.021380211
2016,0.004019864,0.015768562,0.082400096,-0.013205568,-0.038824181,0.090625021,0.097957632,-0.05733937,0.015445825,0.016164628
2016,-0.14469276,-0.142417653,-0.049517624,-0.051131824,0.029140236,-0.238140721,-0.04081636,0.040549024,0.018033611,-0.108606049
2016,0.0276508,-0.084366142,-0.042697615,0.03932251,0.003644485,-0.025491048,-0.03859911,-0.01992888,-0.058379625,0.10437795
2016,0.109216076,0.231180253,-0.013592947,-0.05738623,0.084078229,0.249571179,0.053466497,0.056309479,0.139211603,-0.003138819
2016,-0.127590468,0.068762586,-0.055932853,0.106040877,0.057974748,0.167467464,0.027514372,0.003398228,0.048678877,0.170845481
2016,0.019923385,0.056758733,-0.076352166,-0.013968556,0.122016574,-0.044973596,0.001809358,0.175931118,-0.041352895,0.006374526
